DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
82702,University Preparatory Academy (PSAD),126.5,1,2,1.5,,,1,1,20.75,7.5,1,8.2,5.8,,1,,2,,,,,,,
82703,Henry Ford Academy: School for Creative Studies (PSAD),66,1,2,,,,,,6,3.5,5,5,4,,1,,1,,,,,,,1
82704,Detroit Public Safety Academy,6,0.5,1,,,,0.01,1,1,1,,1,,,,,,,,,,,,
82705,Branch Line School,5,,,,,,,,0.5,,,1.5,,,,,,,,,,,,
82706,The James and Grace Lee Boggs School,4,,,,,,,,2,,1,1,,,,,,,,,,,,
82707,Experiencia Preparatory Academy,19,2,,,,,0.2,1,2.8,1,,3.55,2,,,,1,,,,,,,
82708,Catherine Ferguson Academy,9,14.4,,,,,1,,1,2,,1,,,0.5,,1,,,,,,,
82716,Vista Meadows Academy,7.8,,,1,,,0.1,,2,1,,2,1.2,,,,1.1,0.5,,,,,,
82717,Achieve Charter Academy,30.63,4.89,,,1,,4.01,,,2.31,,3.75,1.4,,0.6,1.76,0.85,,,,,,,
82718,Quest Charter Academy,34,5.65,,,1,,4.11,,,2.33,,6.15,3.5,,1,1.76,1.3,,,,,,,
82719,Washington-Parks Academy,55,7,1,,,,0.73,,7.46,4.33,7,2.8,3,,,1,,,,,0.73,,,
82722,Detroit Leadership Academy,25.75,4.25,2.5,,,0.25,1,1,3,0.75,3.25,,2,,,,0.6,,,,,,,
82723,Legacy Charter Academy,37,3.15,,,1,,4.02,,,2.33,,4.5,2,,0.8,0.94,1.6,,,,,,,
82724,University Yes Academy,31,1,1,,,,1,1,9.15,1,1.85,6,3.4,,,,,,,,2,,,1
82725,Global Heights Academy,12.34,4.5,,,,,0.12,,1,2,,2.42,1,,,,,,,,,,,
82726,Hinoki International School,8.5,2.6,1,,,,,0.2,0.8,,,,,,,,,,,,0.2,,,0.3
82727,Regent Park Scholars Charter Academy,35,3.87,,,,,5.01,,,2.33,,6,3,,1,1.76,2.3,,,,,,,
82728,Jalen Rose Leadership Academy,13,,,,,,0.25,,2.75,2,1,3.5,1.5,,0.1,,0.1,,,,,,,
82729,South Canton Scholars Charter Academy,33,5.61,,,1,,4.01,,,2.38,,5.5,2,,,2.64,1.7,,,,,,,
82730,American International Academy,15,,,,,,,,1,1,1,4.9,2,,,,,,,,,,,2
82731,GEE Edmonson Academy,13,1.4,,,,,0.12,,2,1.75,,5.4,1,,,,,,,,,,,
82732,GEE White Academy,24,8.15,,,,,0.12,,2,2.7,2.5,6.85,2,,,,,,,,,,,
82733,EMAN Hamilton Academy,11,5,,1,,,1.11,,2,2,1,0.75,,,1,,,,,,1.99,,,
82734,New Paradigm Glazer Academy,9.5,0.5,,,,,0.5,,0.5,1,0.5,1.5,0.5,,,,,,,,,,,
82735,New Paradigm Loving Academy,9.5,1,,,,,1,,,,0.5,2,0.5,,,,,,,,,,,
82736,Starr Detroit Academy,35.7,18,1,0.8,,,0.1,1,2.9,1,1,12,2.8,,,,2,,,,,,,1.9
82738,Academy of International Studies,8,3,1,,,,0.1,,0.9,1,,3.05,1.2,,,,0.11,,,,,,,
82739,Detroit Innovation Academy,11,1,1,,,,1,1,1,,3.75,,1,,,,,,,,,,,
82741,Cornerstone Health School,5,,2.08,0.08,,1,,,1.08,0.08,0.08,,1,,,,,,,,,,,
82742,Madison-Carver Academy,12,,,,,,0.08,,2.16,0.69,,1.59,2,,,,,,,,,,,
82743,Plymouth Scholars Charter Academy,28.2,4.5,,,1,,4.01,,,2.31,,0.75,2,,0.5,2.31,0.9,,,,,,,
82744,Escuela Avancemos,10,,,,,,,,1,,,,,,,,,,,,,,,
82745,Caniff Liberty Academy,15,4,,,,,0.1,,1,2,1,2,1,,,,0.35,,,,,,,
82746,W-A-Y Academy,22.3,,,1,,,1,,3,2,40,,,,1,,,1,,,,,,
82747,International Preparatory Academy-MacDowell Campus,19,3,,,,,2.1,,4.9,4,3,3,4,,,3,,,,,,,,1
82748,Rutherford Winans Academy,12,1,1,,,,1,1,1,1,,4,1,,,,,,,,,,,
82749,Highland Park Public School Academy,43,14.74,4,1.5,,,,2,3,1,5.94,5.04,10,,0.7,2.76,3.8,,,,,,,2
82750,Wolverine Academy (SDA),4,,,,,,0.1,,3,1,,,9,,,,0.18,,,,,,,
82751,Michigan Educational Choice Center,65,9,,,,,2,,10,7,20,2,9,2,,2,2,6,,,,,,
82752,Capstone Academy Charter School (SDA),6,,0.5,,,,1.25,,0.5,,3.25,,3,,,,,,,,,,,
82754,Tipton Academy,10,2,,,,,1.45,,,1.5,2,2.5,1,,,,,,,,,,,
82755,Southwest Detroit Lighthouse Charter Academy,17,5,,,,,2,,2,0.75,1,1.55,1,,,,,,,,,,,
82756,Taylor Preparatory High School,6.65,0.7,,,,,1.01,,,1,0.6,0.02,0.4,,0.2,1,0.01,,,,0.2,,,
82902,Casa Richard Academy,3,,,,,,,,1,1.5,0.65,0.5,,,,,,,,,,,,0.5
82903,Aisha Shule/WEB Dubois Prep. Academy School,5.2,1,,,,,,,1,2,,1.75,,,,,,,,,0.05,,,
82904,Plymouth Educational Center Charter School,51.7,,,,,,1,,3,2,3,19.9,2,,,,,1,,,0.3,,,1.5
82905,Nataki Talibah Schoolhouse of Detroit,11,2,0.75,,,,1,,1,,3,2,,,,,,,,,,,,
82907,Michigan Technical Academy,57,12.85,4,,,,1.75,1,5,4,6,28.4,4,,2,1,2.4,,,,2.75,,,1
82909,Detroit West Preparatory Academy,16,6.94,,,,,0.2,,2,2.12,3,6.15,1,,1,,1,,,,,,,
82910,"Martin Luther King, Jr. Education Center Academy",19,2,,,,,1,,1.1,1.4,1.4,1,,,,,,,,,,,,
82911,Gaudior Academy,10.5,1,,,,,0.1,,1.1,1.5,0.5,3,1,,,,,,,,,,,
82913,Woodward Academy,37,6,1,,,,5.95,2,1.05,3,2,9,2,,0.5,,1,1,0.5,,2,,,
82915,Eaton Academy,27,8,,1,1,,0.2,,2.1,1,1,1,2,,,,,,,,,,,
82916,Summit Academy,22,14.05,1,,,,0.2,,3.45,3,,14.45,3,,1,,,,,,,,,0.25
82918,Cesar Chavez Academy,114,28.79,7,1,,,0.03,4,7.97,6.17,6,36.63,10,1,3.75,16.02,7.08,,,,,,,
82919,Commonwealth Community Devel. Academy,12.85,1.13,1,,,,1.5,,1,2,,5.1,1,,,,,,,,,,,
