DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
16000,Cheb-Otsego-Presque Isle ESD,,,1,,,1,4,,2.5,6.65,1,12.99,9.93,,18.4,20,14.37,2.47,,,1,,,
16015,Cheboygan Area Schools,81,29.25,1,1,1,,2,1,8,12,8.24,40.1,11,1,,18,2,,6.66,,1,,,
16050,Inland Lakes Schools,38.38,5.67,,1,,,3.2,1,2,2.28,8.03,22.83,4.8,,,6.37,,,,,3.46,,,1.6
16070,Mackinaw City Public Schools,16,0,,0.5,,,0.8,1,0.6,1.04,,3.7,1,,,,,,,,,,,0.1
16100,Wolverine Community School District,19.8,3.75,,,,,1,1,2.8,1,1,9.58,1.4,1,,,,,,,,,,
17000,Eastern Upper Peninsula ISD,,,4.65,,,1,2.8,2.04,1.41,11.3,3.3,36.2,3,3,16.57,15,14.24,1.45,,,4,,,0.5
17010,Sault Ste. Marie Area Schools,111.76,8.65,1,3,,1,1.85,2.06,6,14.88,15.11,57.62,8.26,8.65,,19.12,,,6.74,,5.95,,,1.66
17050,DeTour Area Schools,11.65,0.47,,,,0.5,2.06,0.9,,1.78,1.17,5.08,0.33,,0.06,0.11,,,,,0.1,,,0.34
17090,Pickford Public Schools,26.95,9.95,,,,,1.58,,1.73,18.45,4.43,7.85,1,,,,,1.87,3.98,,1.16,,,
17110,Rudyard Area Schools,41.38,4,,1,,,1.92,2.61,3.02,5.15,4.91,15.63,3,,,5,,,,,,,,
17140,Brimley Area Schools,27.92,1,,1,,,2.6,,2,3.05,1.75,8.35,3.24,0.33,,2.8,,,,,,,,
17160,Whitefish Township Schools,7.34,0.89,,,,0.17,0.88,0.26,0.12,,0.1,3,0.33,,,,,,,,,,,
17901,Joseph K. Lumsden Bahweting Anishnabe Academy,42.5,22,1,,,1,2,1.17,3.97,5,3.53,12.37,,4,1,2,1,,,,,,,1
17902,Ojibwe Charter School,10.4,1,,,,,1,,1.1,1,0.5,2.2,2,,,,,1,,,,,,0.4
17903,DeTour Arts and Technology Academy,3.64,3.21,,,,,0.1,,,,0,,0.25,,,,,,,,,,,0.4
18000,Clare-Gladwin Regional Education Service District,1,4.83,9,1,,1,4.3,2.8,20.9,10,1.5,71.56,10,,13.6,31,16.5,4.8,8,,3,,,2
18010,Clare Public Schools,74.05,9.15,1,1.7,,,3,,4.68,8.1,4.5,34.5,1.05,4.95,,8.5,,,1.01,,,,,
18020,Farwell Area Schools,65.15,1,,1.6,,1,4.55,1,7.95,9,19.65,38.35,6,0.5,,,,3,,,0.25,,,
18060,Harrison Community Schools,62.5,4,,2,,,2,1,9.5,6,8,4.6,2.25,9.25,,,,11,,,1,,,1
19000,Clinton County RESA,,4,4.9,,,,5.6,0.8,6.45,17.17,1.39,8.32,11.6,5,15.8,8,20.5,23.49,1.26,,1,,,
19010,DeWitt Public Schools,135.67,10.57,2,4.5,,,3.3,1,10.51,20.93,2.25,65.01,13,,,15.71,1,,,,2.7,,,0.2
19070,Fowler Public Schools,31.5,0.25,,0.9,,0.75,0.51,0.6,2.65,3,3.35,7.25,,0.5,,3.75,,1.5,,,,,,
19100,Bath Community Schools,48.23,3.09,0.25,1,0.86,,1.05,0.94,2.75,5.38,5.25,17.53,2.33,2.34,,2.89,1,,,,3.2,,,1.5
19120,Ovid-Elsie Area Schools,77.47,,1,2.5,,1,2,0.8,4.2,8.54,15.03,56.53,0.34,4.66,,,,,,,2.8,,,2
19125,Pewamo-Westphalia Community Schools,32.53,2.5,,1,1,,1,1,2.17,3.4,1.5,27.22,2,,,5.35,,,,,1.48,,,
19140,St. Johns Public Schools,138.62,14.74,1.75,5,,6.3,2,1,8.6,17.7,6.27,88.71,6.17,11.23,,15.64,,,1,,1,,,1
20015,Crawford AuSable Schools,89.5,8.58,1,1,,,3,0.36,6,8.05,3,23.41,7,3.75,1,12.58,2,1,,,1.5,,,
21000,Delta-Schoolcraft ISD,6,0.5,2,2.25,,,4.58,3,3.35,9.27,4.3,2.01,7,0.05,5.25,14.3,14.75,4.15,8.61,,3.95,,,
21010,Escanaba Area Public Schools,106.21,17.69,,1.4,,,3,3,5.5,9.83,12.03,52.64,4.65,12.6,3,37.36,4,3,0.2,,3.5,,,
21025,Gladstone Area Schools,68.3,2.89,,0.8,0.2,4.13,2.7,1,4.97,8.84,2.35,29.66,0.2,4.8,2.4,7.39,,,,,1,,,1.3
21060,Rapid River Public Schools,15.81,1.55,0.26,,,,1.1,,0.1,4.8,1.91,9.48,0.2,1.8,,,,,,,1,,,0.45
21065,Big Bay De Noc School District,13.86,2.85,0.7,,,,0.45,,0.88,2.4,1.27,7.4,,1.36,,0.65,,,,,,,,0.05
21090,Bark River-Harris School District,32.47,6.97,,1,,,1,,2.2,3.09,,20.78,,2.4,,1,,,,,,,,
21135,Mid Peninsula School District,12.8,,,,,,0.95,,0.65,2,0.33,6.68,1,,,,,1,,,,,,
22000,Dickinson-Iron ISD,1,17.58,2.51,,,,1.95,1,1.05,10.66,7.1,11.55,7,,6.8,19.5,8,2.2,9,,4,,1,
22010,Iron Mountain Public Schools,61.15,9.58,1,1,,,3,1,4.5,9.76,1.5,17.54,4.99,,,1,0.5,,,,,,,
22025,Norway-Vulcan Area Schools,33.99,8.05,0.5,0.67,,,1,0.2,2,4.6,1.14,14.25,3.5,1,,1.21,1,,,,,,,
22030,Breitung Township School District,75.73,6.82,,1.67,,,1.98,5.11,4.66,3.48,4.21,29.91,2.15,7.28,1,0.93,0.5,,,,3,,,1.25
22045,North Dickinson County Schools,14.04,4,,0.67,,,0.95,0.5,0.05,2.9,0.2,6.45,2,,,,,,,,0.3,,,0.8
23000,Eaton ISD,2,1.67,4,,,,11,1,7,10.8,2.77,36.01,10,,22.99,20,29.91,9.71,1,,2,,,
23010,Bellevue Community Schools,30.5,4.71,0.5,1,,0.5,1,,3,3.72,1,19.37,4,1,,5.61,,,,,,,,1
23030,Charlotte Public Schools,123.94,2.24,5,4,0.5,0.9,4,1,7,19.46,3.69,56.05,7.01,12.84,1.55,16.79,,1.94,,,3.13,,,1.67
